product_name, rating, specs
OPPO Reno2 Z (Luminous Black| 256 GB),4.5,8 GB RAM | 256 GB ROM | Expandable Upto 256 GB16.51 cm (6.5 inch) Display48MP + 8MP + 2MP + 2MP | 16MP Front Camera4000 mAh BatteryMediaTek Helio P90 SoC ProcessorUltra Dark Mode | Ultra Steady Video10x Digital ZoomBrand Warranty of 1 Year Available for Mobile with Battery and 6 Months for Accessories
Realme X2 Pro (Lunar White| 64 GB),none,6 GB RAM | 64 GB ROM |16.51 cm (6.5 inch) Full HD+ Display64MP + 13MP + 8MP + 2MP | 16MP Front Camera4000 mAh BatteryQualcomm Snapdragon 855 Plus Processor90 Hz Ultra Smooth Display50W Super Vooc Flash Charge20X Hybrid ZoomBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
Realme X2 Pro (Neptune Blue| 128 GB),4.6,8 GB RAM | 128 GB ROM |16.51 cm (6.5 inch) Full HD+ Display64MP + 13MP + 8MP + 2MP | 16MP Front Camera4000 mAh BatteryQualcomm Snapdragon 855 Plus Processor90 Hz Ultra Smooth Display50W Super Vooc Flash Charge20X Hybrid ZoomBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
Realme X2 Pro (Lunar White| 128 GB),4.6,8 GB RAM | 128 GB ROM |16.51 cm (6.5 inch) Full HD+ Display64MP + 13MP + 8MP + 2MP | 16MP Front Camera4000 mAh BatteryQualcomm Snapdragon 855 Plus Processor90 Hz Ultra Smooth Display50W Super Vooc Flash Charge20X Hybrid ZoomBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
Realme X2 Pro (Neptune Blue| 64 GB),none,6 GB RAM | 64 GB ROM |16.51 cm (6.5 inch) Full HD+ Display64MP + 13MP + 8MP + 2MP | 16MP Front Camera4000 mAh BatteryQualcomm Snapdragon 855 Plus Processor90 Hz Ultra Smooth Display50W Super Vooc Flash Charge20X Hybrid ZoomBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
Samsung Galaxy A50 (Blue| 64 GB),4.4,6 GB RAM | 64 GB ROM | Expandable Upto 512 GB16.26 cm (6.4 inch) Full HD+ Display25MP + 5MP + 8MP | 25MP Front Camera4000 mAh Lithium-ion BatteryExynos 9610 ProcessorSuper AMOLED DisplayBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
Samsung Galaxy A70 (Blue| 128 GB),4.4,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB17.02 cm (6.7 inch) Full HD+ Display32MP + 5MP + 8MP | 32MP Front Camera4500 mAh Lithium-ion BatteryQualcomm Snapdragron 675 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
Samsung Galaxy A6+ (Black| 64 GB),4.4,4 GB RAM | 64 GB ROM |15.24 cm (6 inch) Full HD+ Display16MP + 5MP | 24MP Front Camera3500 mAh BatteryBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
Samsung Galaxy A70s (Prism Crush Red| 128 GB),4.4,8 GB RAM | 128 GB ROM | Expandable Upto 512 GB17.02 cm (6.7 inch) Full HD+ Display64MP + 5MP + 8MP | 32MP Front Camera4500 mAh Lithium Ion BatteryQualcomm SM6150 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
Samsung Galaxy A70 (White| 128 GB),4.4,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB17.02 cm (6.7 inch) Full HD+ Display32MP + 5MP + 8MP | 32MP Front Camera4500 mAh Lithium-ion BatteryOcta core (2 GHz, Dual core, Kryo 460 + 1.7 GHz, Hexa Core, Kryo 460) ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
Vivo V11 (Starry Night Black| 64 GB),4.5,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.0 cm (6.3 inch) Full HD+ Display16MP + 5MP | 25MP Front Camera3315 mAh BatteryMediaTek P60 Octa Core 2.0 GHz ProcessorBrand Warranty 1 Year for Mobile
Honor 8,4.4,4 GB RAM | 32 GB ROM | Expandable Upto 128 GB13.21 cm (5.2 inch) Full HD Display12MP + 12MP | 8MP Front Camera3000 mAh Li-Polymer BatteryARM Hisilicon Kirin 950 - ARM Cortex A72 + ARM Cortex A53 Octa Core 2.3GHz ProcessorBrand Warranty of 1 Year Available for Mobile, 6 Months for Battery and Charger, 3 Months for Data Cable
Honor 8,4.4,4 GB RAM | 32 GB ROM | Expandable Upto 128 GB13.21 cm (5.2 inch) Full HD Display12MP + 12MP | 8MP Front Camera3000 mAh Li-Polymer BatteryARM Hisilicon Kirin 950 - ARM Cortex A72 + ARM Cortex A53 Octa Core 2.3GHz Processor12 Months on handset, 6 Months on battery , 6 Months on charger & 3 Months on data cable
OPPO R17 (Neon Purple| 128 GB),none,8 GB RAM | 128 GB ROM |16.26 cm (6.4 inch) Display16MP Rear Camera3500 mAh Battery1 year manufacturer warranty
Honor 6 Plus (Black| 32 GB),3.9,3 GB RAM | 32 GB ROM | Expandable Upto 128 GB13.97 cm (5.5 inch) Full HD Display8MP + 8MP | 8MP Front Camera3600 mAh BatteryHisilicon Kirin 925 Cortex-A15 + Cortex-A7 Processor12 Months on handset, 6 Months on battery , 6 Months on charger & 3 Months on data cable
Samsung Galaxy A6+ (Gold| 64 GB),4.4,4 GB RAM | 64 GB ROM |15.24 cm (6 inch) Full HD+ Display16MP + 5MP | 24MP Front Camera3500 mAh BatteryBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
Vivo V9 (Pearl Black| 64 GB),4.5,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.0 cm (6.3 inch) Full HD+ Display16MP + 5MP | 24MP Front Camera3260 mAh Li-ion BatteryQualcomm Snapdragon 626 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
Vivo V15 (Glamour Red| 64 GB),4.4,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.59 cm (6.53 inch) Full HD+ Display12MP (24 Million Photosensitive Units) + 8MP + 5MP | 32MP Front Camera4000 mAh Li-ion BatteryMTK Helio P70 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
Apple iPhone 6s (Rose Gold| 32 GB),4.5,32 GB ROM |11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 5MP Front CameraApple A9 64-bit processor and M9 Motion Co-processorBrand Warranty of 1 Year
Apple iPhone 6s (Gold| 32 GB),4.5,32 GB ROM |11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 5MP Front CameraApple A9 64-bit processor and Embedded M9 Motion Co-processorBrand Warranty of 1 Year
OPPO Reno2 Z (Sky White| 256 GB),4.5,8 GB RAM | 256 GB ROM | Expandable Upto 256 GB16.51 cm (6.5 inch) Display48MP + 8MP + 2MP + 2MP | 16MP Front Camera4000 mAh BatteryMediaTek Helio P90 SoC ProcessorUltra Dark Mode | Ultra Steady Video10x Digital ZoomBrand Warranty of 1 Year Available for Mobile with Battery and 6 Months for Accessories
OPPO F5 (Red| 64 GB),4.4,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB15.24 cm (6 inch) Full HD+ Display16MP Rear Camera | 20MP Front Camera3200 mAh BatteryMediatek MT6763T Octa Core 2.5 GHz ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
OPPO F5 (Black| 64 GB),4.4,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB15.24 cm (6 inch) Full HD+ Display16MP Rear Camera | 20MP Front Camera3200 mAh BatteryMediatek MT6763T Octa Core 2.5 GHz ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
Honor 8,4.4,4 GB RAM | 32 GB ROM | Expandable Upto 128 GB13.21 cm (5.2 inch) Full HD Display12MP + 12MP | 8MP Front Camera3000 mAh Li-Polymer BatteryARM Hisilicon Kirin 950 - ARM Cortex A72 + ARM Cortex A53 Octa Core 2.3GHz Processor12 Months on handset, 6 Months on battery , 6 Months on charger & 3 Months on data cable
OPPO K3 (Jade Black| 128 GB),none,8 GB RAM | 128 GB ROM |16.51 cm (6.5 inch) Display16MP Rear Camera3765 mAh Battery1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
Black Shark 2 (Shadow Black| 128 GB),4.5,6 GB RAM | 128 GB ROM |16.23 cm (6.39 inch) Display48MP + 12MP | 20MP Front Camera4000 mAh BatterySM855 (Qualcomm Snapdragon Premium Tier) ProcessorBrand Warranty of 1 Year Available for Mobile
Asus 6Z (Black| 64 GB),4.3,6 GB RAM | 64 GB ROM | Expandable Upto 2 TB16.23 cm (6.39 inch) Full HD+ Display48MP + 13MP | 48MP + 13MP Dual Front Camera5000 mAh BatteryQualcomm SD 855 ProcessorFlip CameraBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
LG V40 ThinQ (Platinum Grey| 128 GB),4.3,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.26 cm (6.4 inch) Quad HD+ Display16MP + 12MP | 8MP + 5MP Dual Front Camera3300 mAh Lithium Ion BatteryQualcomm Snapdragon 845 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
Vivo V11 Pro (Starry Night Black| 64 GB),4.5,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.28 cm (6.41 inch) Full HD+ Display12MP + 5MP | 25MP Front Camera3400 mAh Li-ion Battery2.0 GHz Qualcomm Snapdragon 660 AIE ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
Samsung Galaxy A7-2017 (Gold Sand| 32 GB),3.8,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB14.48 cm (5.7 inch) Full HD Display16MP Rear Camera | 16MP Front Camera3600 mAh BatteryExynos 7880 64-bit ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
OPPO R17 Pro (Emerald Green| 128 GB),4.1,8 GB RAM | 128 GB ROM |16.26 cm (6.4 inch) Display12MP + 20MP | 25MP Front Camera3700 mAh BatterySDM710 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories
OPPO R17 Pro (Radiant Mist| 128 GB),4.1,8 GB RAM | 128 GB ROM |16.26 cm (6.4 inch) Display12MP + 20MP | 25MP Front Camera3700 mAh BatterySDM710 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories
